link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-98m2-venda-RS593000-id-2439285991/,-8.120147,-34.899576,R$ 593.000,Não informado,Não informado,98,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-260m2-venda-RS1350000-id-2430171286/,-8.119763,-34.895606,R$ 1.350.000,,R$ 2.100,260,4,5,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-78m2-venda-RS350000-id-1871745479/,-34.905802,-8.138135,R$ 350.000,,R$ 750,78,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-70m2-venda-RS290000-id-81299635/,-8.126275,-34.908185,R$ 290.000,R$ 1.500,R$ 380,70,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-93m2-venda-RS545000-id-2441025894/,-8.140683,-34.909545,R$ 545.000,Não informado,Não informado,93,3,1,1 suíte,
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-94m2-venda-RS240000-id-2446443202/,-8.125072,-34.900199,R$ 240.000,R$ 1.400,R$ 600,94,3,2,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-158m2-venda-RS950000-id-91902774/,-34.898497,-8.110876,R$ 950.000,Não informado,Não informado,158,4,4,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-213m2-venda-RS1500000-id-2443300195/,-8.136166,-34.902716,R$ 1.500.000,,R$ 900,213,4,4,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-185m2-venda-RS1250000-id-2445791201/,-8.116937,-34.89949,R$ 1.250.000,,R$ 750,185,4,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS370000-id-2444400179/,-8.144872,-34.905565,R$ 370.000,Não informado,Não informado,52,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS267750-id-2439047691/,-8.122004,-34.905281,R$ 267.750,,R$ 300,52,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-47m2-venda-RS275900-id-2440804225/,-8.133507,-34.909954,R$ 275.900,,R$ 370,47,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-230m2-venda-RS1400000-id-2431550893/,-8.111428,-34.890973,R$ 1.400.000,R$ 7.350,R$ 2.000,230,4,3,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-132m2-venda-RS1286000-id-78529477/,-8.11456,-34.901749,R$ 1.286.000,R$ 3.000,R$ 700,132,4,4,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-53m2-venda-RS500000-id-2445441618/,-8.113062,-34.899225,R$ 500.000,Não informado,Não informado,53,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-104m2-venda-RS569000-id-2441750774/,-34.905766,-8.141537,R$ 569.000,,R$ 750,104,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS550000-id-2431553491/,-8.137574,-34.902198,R$ 550.000,R$ 208,R$ 1.270,130,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS350000-id-95072574/,-8.11993,-34.897162,R$ 350.000,,R$ 600,110,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-57m2-venda-RS299000-id-2388585479/,-8.13069,-34.909839,R$ 299.000,,R$ 360,57,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-145m2-venda-RS850000-id-1039463746/,-8.118376,-34.896792,R$ 850.000,R$ 2.800,R$ 900,145,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-107m2-venda-RS867000-id-1040376719/,-8.109342,-34.898112,R$ 867.000,,R$ 400,107,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-132m2-venda-RS690000-id-2432029578/,-8.120204,-34.899699,R$ 690.000,R$ 356,R$ 1.050,132,3,5,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS550000-id-2430515978/,-8.141042,-34.904704,R$ 550.000,R$ 1.800,R$ 900,100,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS750000-id-85873244/,-8.139184,-34.903473,R$ 750.000,R$ 3.800,R$ 1.700,150,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS360000-id-2445524225/,-8.126271,-34.903793,R$ 360.000,Não informado,Não informado,100,4,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-136m2-venda-RS810000-id-2436274081/,-8.108993,-34.896935,R$ 810.000,Não informado,Não informado,136,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-163m2-venda-RS700000-id-2446494000/,-8.120762,-34.896941,R$ 700.000,Não informado,Não informado,163,4,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-71m2-venda-RS380000-id-2438900979/,-34.907197,-8.142668,R$ 380.000,R$ 152,R$ 600,71,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-145m2-venda-RS700000-id-2432300187/,-8.116143,-34.893404,R$ 700.000,R$ 1.671,R$ 900,145,4,3,2 suítes,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-190m2-venda-RS1200000-id-2435210886/,-8.129906,-34.899576,R$ 1.200.000,R$ 630,R$ 1.150,190,3,3,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-220m2-venda-RS1200000-id-2435737685/,-8.119437,-34.895478,R$ 1.200.000,,R$ 1.100,220,4,5,4 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-128m2-venda-RS500000-id-2446110676/,-8.137376,-34.904218,R$ 500.000,Não informado,Não informado,128,4,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-61m2-venda-RS457000-id-1040550855/,-8.12593,-34.904411,R$ 457.000,,R$ 400,61,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-36m2-venda-RS240000-id-2443917822/,-8.120302,-34.897334,R$ 240.000,Não informado,Não informado,36,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-175m2-venda-RS700000-id-2446730248/,,,R$ 700.000,Não informado,Não informado,175,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-35m2-venda-RS320000-id-2446111992/,-8.119679,-34.895654,R$ 320.000,Não informado,Não informado,35,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-59m2-venda-RS350000-id-2442953398/,-8.109175,-34.897957,R$ 350.000,Não informado,Não informado,59,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-109m2-venda-RS590000-id-2165705481/,-8.125518,-34.903362,R$ 590.000,R$ 2.500,R$ 805,109,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-81m2-venda-RS610000-id-1296255502/,-8.112923,-34.901114,R$ 610.000,,R$ 500,81,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS500000-id-2430577991/,-8.141553,-34.906714,R$ 500.000,R$ 1.500,R$ 950,120,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-236m2-venda-RS1100000-id-45449858/,-8.09885,-34.884766,R$ 1.100.000,R$ 4.000,,236,4,4,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-154m2-venda-RS700000-id-2431731273/,-8.139185,-34.904623,R$ 700.000,R$ 3.100,R$ 1.300,154,4,4,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-98m2-venda-RS570000-id-2445801602/,-34.898363,-8.113002,R$ 570.000,,R$ 750,98,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-80m2-venda-RS250000-id-2446111995/,-8.127117,-34.90237,R$ 250.000,Não informado,Não informado,80,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-62m2-venda-RS350000-id-2446112082/,-8.126162,-34.908747,R$ 350.000,,R$ 370,62,3,2,1 suíte,1
